Name,Label
Dosa,MENU
Guthi Vonkaya Kura,MENU
Peshwari Chana,MENU
Rice,MENU
Raita,MENU
Curry,MENU
Kura,MENU
Stuffed Indian Eggplant,MENU
Chana,MENU
Kerala Fish Curry,MENU
Chicken Tikka Masala,MENU
Okra Curry,MENU
Dal,MENU
Naan,MENU
Crispy Pakora,MENU
Veg Biryani,MENU
Masala Curry,MENU
Mushroom Peas Masala Curry,MENU
Sambar,MENU
Mirch Curry,MENU
Andhra Chicken Curry,MENU
Spice South Chicken Curry,MENU
Biryani,MENU
Chicken,MENU
Vegetable Curry,MENU
Vegetables,MENU
Lamb,MENU
Goat,MENU
Tikki Marsala,MENU
Naan Bread,MENU
Masala Dosa,MENU
Chicken Chettinad,MENU
Panir Butter Masala,MENU
Garlic Naan,MENU
Papadums,MENU
Chutney,MENU
Indian Beers,MENU
Goat Curry,MENU
Chicken Tandoori,MENU
Beef Vindaloo,MENU
Palak Paneer,MENU
Vegetable Pakora,MENU
Butter Chicken,MENU
Parathas,MENU
Buttery Parathas,MENU
Mutton Karahi,MENU
Mutton,MENU
Chicken Tikka,MENU
Roti,MENU
Mushroom Masala,MENU
Mushrooms,MENU
Seafood,MENU
Fish,MENU
Pani Puri,MENU
Pani Puris,MENU
Salads,MENU
Chicken Biryani,MENU
Ras Malai,MENU
Aloo Gobi,MENU
Paneer Makhani,MENU
Pickles,MENU
Gulab Jamon,MENU
Makhni Dahl,MENU
Pakora,MENU
Tandoori Chicken,MENU
Pasta,MENU
Potato / Cauliflower Curry,MENU
Butter Chicken Sauce,MENU
Ice Cream,MENU
Rice Pudding,MENU
Gulabjam,MENU
Chicken Breast,MENU
Chili Chicken,MENU
Chicken Curry,MENU
Chicken Biryani Combo,MENU
Veggie Samosa,MENU
Spicy Chicken,MENU
Chicken Samosa,MENU
Kothu Roti,MENU
Coconut Roti,MENU
Yellow Thin Noodles,MENU
Snacks,MENU
Rolls,MENU
Idllis,MENU
Noodles,MENU
Hot Rolls,MENU
Samosa,MENU
Tomato Rice,MENU
Crispy Masala Fried Corn,MENU
Boiled Egg,MENU
Sauce,MENU
Fruit Custard,MENU
Yogurt Sauce,MENU
Gobi,MENU
Chana Masala,MENU
Fried Cauliflower,MENU
Malai Kofta,MENU
Plain Rice,MENU
Saag,MENU
Chai,MENU
Dosa Dinner,MENU
Butter Masala,MENU
Shrimp Curry,MENU
Mysore Masala Dosa,MENU
Chana Bhatura,MENU
Batura,MENU
Gobi 65,MENU
Paneer,MENU
Indian Cheese,MENU
Rava Dosa,MENU
