Name,Label
Silver Spoon,RESTAURANT
Spice South,RESTAURANT
Bombay Buffet Indian Cuisine,RESTAURANT
Canbe Foods,RESTAURANT
Red Chillez,RESTAURANT
Lena's Roti & Doubles,RESTAURANT
Tangra Villa Hakka Chinese Cuisine,RESTAURANT
Haveli Restaurant,RESTAURANT
Afghan Cuisine,RESTAURANT
Soma Grill,RESTAURANT
Watan Kabob,RESTAURANT
Hakka Town,RESTAURANT
Hyderabad House Arizona,RESTAURANT
Supreme Dosa,RESTAURANT
Tamarind - The Indian Kitchen,RESTAURANT
Armaan Taste of India,RESTAURANT
Matka Indian Cuisine,RESTAURANT
Nirala Sweets & Restaurant,RESTAURANT
SpiceBros,RESTAURANT
Star of India,RESTAURANT
Aroma Fine Indian Cuisine,RESTAURANT
Bombay Mahal Thali,RESTAURANT
Hakka Bro's,RESTAURANT
Little Spice,RESTAURANT
Chennai Chettinaad Palace,RESTAURANT
Nirvana II,RESTAURANT
Maharani Indian Cuisine,RESTAURANT
OM Restaurant,RESTAURANT
Masala House Indian Bistro,RESTAURANT
Tandoori Grill,RESTAURANT
Tandoori Style Restaurant,RESTAURANT
India Garden,RESTAURANT
Lotus Deli,RESTAURANT
Indian Taste Restaurant,RESTAURANT
Spicy Garden,RESTAURANT
Mantra Masala,RESTAURANT
Bombay Palace,RESTAURANT
Anjappar Chettinad Restaurant,RESTAURANT
Kohinoor Cuisine of India,RESTAURANT
Thulasi Kitchen,RESTAURANT
Tadka Restaurant,RESTAURANT
Waterfalls Indian Tapas Bar & Grill,RESTAURANT
Delhi Bistro,RESTAURANT
Maharaja Restaurant,RESTAURANT
Cafe Krishna,RESTAURANT
Charkha Exotic Indian Cuisine,RESTAURANT
Airport Bukhara,RESTAURANT
The Red Room,RESTAURANT
Copper Modern Indian Cuisine,RESTAURANT
Brar Sweets Restaurant,RESTAURANT
Eastern Twist,RESTAURANT
Jaipur Grille,RESTAURANT
Tandoori House,RESTAURANT
Express Indien,RESTAURANT
Raja Foods,RESTAURANT
The Tasty Touch,RESTAURANT
India's Cafe & Kitchen,RESTAURANT
Restaurant Devi,RESTAURANT
Bombay's Chutney,RESTAURANT
Maison de Cari Golden,RESTAURANT
Tamarind Savoring India,RESTAURANT
Angara India Spice Grill,RESTAURANT
Pakwan Indian Bistro,RESTAURANT
Wanlee Loy,RESTAURANT
Rajdhani Sweets & Restaurant,RESTAURANT
Urban Hakka,RESTAURANT
Where the River Narrows,RESTAURANT
Needle and Pin,RESTAURANT
Amaya Express,RESTAURANT
Annalakshmi,RESTAURANT
Choolaah Indian BBQ,RESTAURANT
Guru Lukshmi,RESTAURANT
Didar,RESTAURANT
Dev,RESTAURANT
Charcoal Kebab House,RESTAURANT
Masala Kitchen,RESTAURANT
Bao-Shin To Go,RESTAURANT
Saffron Fine Indian Takeout,RESTAURANT
Taj Indian Cuisine & Banquet Hall,RESTAURANT
Minerva Indian Cuisine,RESTAURANT
Bollywood Bites,RESTAURANT
Hyderabad House -  Madison,RESTAURANT
Rajdhani Sweets,RESTAURANT
Paradise India,RESTAURANT
India's Flame,RESTAURANT
Paradise Biryani Pointe,RESTAURANT
Le Tandoor,RESTAURANT
Wong's Asian Cuisine,RESTAURANT
New India Gate,RESTAURANT
Shalimar Foods,RESTAURANT
Usmania Grill,RESTAURANT
Jalsa Ice Cream and Bakery,RESTAURANT
Bikaner Sweets & Restaurant,RESTAURANT
Samosa Factory,RESTAURANT
Chatpatay,RESTAURANT
Royal Ganesha,RESTAURANT
