user_id,rest_id,rating,date
u-lZXCUgpBBsnbN7926Y3g0A,b-mOsKIonnlHllP9gfbXdgnQ,2.0,2017-09-21 19:06:48
u-GUMxq_mi_XFoUMlYDoQYeg,b-mOsKIonnlHllP9gfbXdgnQ,4.0,2014-09-26 23:53:57
u-BP0Qe_iFslyq7t6Xugvzrg,b-mOsKIonnlHllP9gfbXdgnQ,3.0,2016-10-07 04:39:44
u-gyS1Ef3KamhVeyFhk4nqeQ,b-mOsKIonnlHllP9gfbXdgnQ,1.0,2016-03-13 00:07:37
u-bgjERvfhhgeDurSi9Ni5gg,b-mOsKIonnlHllP9gfbXdgnQ,4.0,2017-11-17 21:36:31
u-pZsVUkMb4yGMGoTRzNS7Ew,b-mOsKIonnlHllP9gfbXdgnQ,4.0,2014-01-27 20:03:41
u--dEAguztpqPvzftWb_YNdA,b-mOsKIonnlHllP9gfbXdgnQ,5.0,2018-06-08 16:47:32
u-71tacONUReSQ1tv2Edz4OQ,b-mOsKIonnlHllP9gfbXdgnQ,4.0,2019-02-08 23:20:41
u-Uaqawx2iD0mT5YP_akJrJw,b-mOsKIonnlHllP9gfbXdgnQ,2.0,2014-06-27 00:28:47
u-pj7M1RIWV0caCp7Kj91JxA,b-mOsKIonnlHllP9gfbXdgnQ,3.0,2014-12-17 03:39:34
u-TMV_sdcRAzmgByr2ez6dAw,b-mOsKIonnlHllP9gfbXdgnQ,1.0,2017-03-07 01:29:27
u-zSaIbSCTB9ug09pOqf8_vw,b-mOsKIonnlHllP9gfbXdgnQ,1.0,2017-03-11 22:25:20
u-BSu2hEtBYvtADAEKiQrmiQ,b-mOsKIonnlHllP9gfbXdgnQ,1.0,2013-12-14 20:19:21
u-hTmPK8GhGXOKgFig4pMNmA,b-nbf4o8gUP2y9JKFE2wBO2A,4.0,2015-07-29 00:35:30
u-ZsisQjLoliFocSnktH3lsw,b-nbf4o8gUP2y9JKFE2wBO2A,5.0,2016-01-04 20:58:51
u-W37KqgMymarQaqYGOWS70w,b-nbf4o8gUP2y9JKFE2wBO2A,4.0,2013-10-26 19:48:51
u-xCAwgus9fWEIrv5GvwykEQ,b-nbf4o8gUP2y9JKFE2wBO2A,4.0,2013-10-27 14:21:18
u-AJpmz9nHVf-Prm5l0U0bNw,b-nbf4o8gUP2y9JKFE2wBO2A,1.0,2016-08-05 17:34:04
u-fNqVLJ6l19eqJaMV-hk-xw,b-nbf4o8gUP2y9JKFE2wBO2A,1.0,2017-10-08 21:36:28
u-6T2wUKXuQkbk8vTwTC6OVQ,b-nbf4o8gUP2y9JKFE2wBO2A,1.0,2014-08-16 14:19:22
u-ZDAjNnzMh_k_NPxYA0AwiQ,b-nbf4o8gUP2y9JKFE2wBO2A,1.0,2017-02-18 21:53:00
u-dzkWjkKZEFwibAx8aGNLqA,b-nbf4o8gUP2y9JKFE2wBO2A,2.0,2014-04-26 23:07:24
u-a0m28ex8jW6PvnyojchLyw,b-nbf4o8gUP2y9JKFE2wBO2A,4.0,2015-07-01 12:36:54
u-V_pw1PPGe6YbRl4-JpXfYQ,b-nbf4o8gUP2y9JKFE2wBO2A,1.0,2019-03-03 05:43:12
u-n4DeNymCmaulmpoThjjEQg,b-nbf4o8gUP2y9JKFE2wBO2A,2.0,2018-09-08 17:08:32
u-n4DeNymCmaulmpoThjjEQg,b-nbf4o8gUP2y9JKFE2wBO2A,1.0,2019-08-09 14:25:27
u-Jai6ZKPwMwIOEh8mqI8JoQ,b-UaMq3DUhtkoZ5WCEQm2T9g,4.0,2018-04-04 15:36:32
