0,1,2
u-BP0Qe_iFslyq7t6Xugvzrg,VISIT,b-mOsKIonnlHllP9gfbXdgnQ
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Naan
u-ORBwoRxcyxFtjNU5zuex_Q,WRITE_REVIEW,r-dOia06kdQ7EyTG2qo1sD5A
b-COfzp0tze_F8N13zn40zzg,HAS_REVIEW,r-Hvt0_Olk85dp5cQmT_nyPg
Wonderful,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
Food,IS,Fantastic
Delicious,ASPECT_ATTR_FOR,b-35KvoWbA3kEsdckaWqG3OA
u-DvDEccGguYTxxPDNU35y8w,VISIT,b-GC9Re0tKAnecMww3DB638g
u-BNKnI-M9c9Gtvjga9Vk4kw,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
u-bPu0FHiJ9FH5d5PLXo7VEw,VISIT,b-BxkVct02QHybp54ATZgkUQ
u-Ie8Eh9Osxb98EOUi85hXWg,RATE,b-f7RXwcus_-EOsR0q5ctVjw
b-_PKXarw3GjlbwbXhjdpUMA,HAS_REVIEW,r-rXzbbVyFxeRzSUxmo6cbug
u-Jnx8GE372nbzljZ5VqZcGA,WRITE_REVIEW,r-LZFD4dIkRde1Wa5AUGZjBw
u-oQhNPQA9D4TwDx4HPCA27Q,RATE,b-BoiAZQB9AHRvazM055GFOw
u-Na7xuGDsbPUdtGp8fIzJsw,ORDER,Paneer
Good,ASPECT_ATTR_FOR,b-vCx6uieEF0W0mKFK4sT3Yg
b-f7RXwcus_-EOsR0q5ctVjw,HAS_REVIEW,r-QnpKIsvjbezFS5qejki3nw
b-De8Z9rLZOmf-icp3gDxCZA,HAS_ASPECT,Food
u-J1maxb_SF5z6uEpS86HMbA,ORDER,Roti
Happy,ASPECT_ATTR_FOR,b-ZJ0gQp0fcnIDiZv0m9--Gg
u-mbT9_szJjOen3wEYzlqrAg,WRITE_REVIEW,r-HeFXlmkGbNtr2cIuczCSqg
Customer_Service,IS,Awesome
u-sJ-NdVJt6LSKUQjqoZeNiA,WRITE_REVIEW,r-f3hf1drnbWDAkaMMzoslOA
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_ASPECT,Food
b-0cf-w9PK5gLkBkitL3bdqw,IS,Clean
Good,ASPECT_ATTR_FOR,b-qMw7mFHAjgG7qN82aXmeZg
u-h0I57hIQ57uS7AgsHQv7Qw,VISIT,b-XvuUYiJYAAiNC4AmdbBZ8g
u-wWfUZ3kJ6ZElj9MbBs6hxw,RATE,b-TAnzFr9NixvCbvUdJMWL5Q
u-UnUzWu9UcVQ2fJjWJpNjQw,VISIT,b-jb0-JZMt-6Khsh-VwsDtLQ
u-u5aA2ljFrhY8IXERY9-E1Q,VISIT,b-TAnzFr9NixvCbvUdJMWL5Q
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Cheese_Pakora
u-d001IZdpyqpyW247oIkhgg,WRITE_REVIEW,r-1F1pGDa0SvuZaDgdxXPjrg
b-7xA6iSP0Ndn08tpBFQtUKA,HAS_REVIEW,r-UXKKXKAVD0mwqB-9aV0URQ
u-9_FDFDwy1-DsmAwMk3VjHw,RATE,b-DxbdfvNYPCyiLJDDPJK3Tg
u-JNIQzSzS6GZPv8mPBscJeA,ORDER,Chutney
u-YOOxRK3TDBJMOcxS3qNQ7w,VISIT,b-bO_JX-lDo5D5JGZhK5Ly3A
u-e36kRKyjB36CzB0Bkdk8ow,WRITE_REVIEW,r-iJth0_U7kbK4VDx6MBfO8g
Garlic_Naan,IS,Delicious
Service,IS,Good
u-0D38OKm-1OtBE0DzmYqmBQ,VISIT,b-BxkVct02QHybp54ATZgkUQ
u-Y_8vdnXKwjfj2YH09vXSGA,WRITE_REVIEW,r-EGctTOMQY6Ihk6i2-slbvg
u-oNHDgnRGZ1KkeTqBIFjBtw,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
u-g94Ml1oo2qQe_iGBJL8nAA,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
b-BoiAZQB9AHRvazM055GFOw,HAS_REVIEW,r--F1_JnWAe1oKYOvzKAF5JQ
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-MrnT2dAygRI2SvSDkMzDlw
u-ps3T5nr0ZTNKmMijQ50RRw,VISIT,b-W_9ophRRWO924hn1S-y2Hg
u-H3I-I_FtzVkGBfTbOSNI7A,RATE,b-Ksk5cLav4OtbUtpRGp5b4g
b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_REVIEW,r-t3f8BULSTiH4ZwWVDCYKMg
b-xA6L2w_TlbxHubb1xeBE8w,HAS_MENU,Butter_Chicken
Food,IS,Phenomenal
u--Fy91nyOFqPv9M_MaZ4W2g,WRITE_REVIEW,r-UPP4L30LBnqnAbGc_1Dgmg
b-gA4bnK91phT5FTzG4ki3Dw,HAS_MENU,Bread
u-rvRpfdMe-mPEKDHcaxRu2g,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
b-7vgWonwfqRt9pxR1c00Ulw,HAS_MENU,Dinner
u-syCxRdiP-0XJenWpJ8L02g,ORDER,Mushroom_Makini
b-W_9ophRRWO924hn1S-y2Hg,HAS_REVIEW,r-m2OYy84ru5H_U2ziR8HmJg
Food,IS,Good
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-TKCNXpi4VCrKVWkmD0GM2Q
b-COfzp0tze_F8N13zn40zzg,LOCATED_IN,Montréal-Canada
Biryani,IS,Heavenly
Horrible,MENU_ATTR_FOR,b-P4h8kgy_48oE9vCHJc4BCQ
