id,user_id,name,gender,age,fans,review_count,average_stars,friends
0,u-lZXCUgpBBsnbN7926Y3g0A,Violet,female,18,0,6,2.5,
1,u-GUMxq_mi_XFoUMlYDoQYeg,Sam,male,35,0,40,3.26,
2,u-BP0Qe_iFslyq7t6Xugvzrg,Shawn,male,25,0,24,3.88,
3,u-gyS1Ef3KamhVeyFhk4nqeQ,Marie,female,56,0,11,3.42,
4,u-bgjERvfhhgeDurSi9Ni5gg,Thomas,male,35,0,34,3.31,
5,u-pZsVUkMb4yGMGoTRzNS7Ew,Priyam,male,45,8,93,3.51,
6,u--dEAguztpqPvzftWb_YNdA,John,male,35,0,8,4.63,
7,u-71tacONUReSQ1tv2Edz4OQ,Katya,female,56,5,109,4.59,
8,u-Uaqawx2iD0mT5YP_akJrJw,Heli,female,25,1,35,3.23,
9,u-pj7M1RIWV0caCp7Kj91JxA,Adnan,male,25,0,5,3.5,
10,u-TMV_sdcRAzmgByr2ez6dAw,D,female,25,0,5,2.8,
11,u-zSaIbSCTB9ug09pOqf8_vw,Mich,female,25,0,2,1.0,
12,u-BSu2hEtBYvtADAEKiQrmiQ,Atif,male,45,2,50,4.3,
13,u-hTmPK8GhGXOKgFig4pMNmA,Lisa,female,18,1,7,4.86,
14,u-ZsisQjLoliFocSnktH3lsw,Mobahil,female,56,0,1,5.0,
15,u-W37KqgMymarQaqYGOWS70w,Burcu,female,45,7,253,3.7,
16,u-xCAwgus9fWEIrv5GvwykEQ,Faraz,female,18,4,45,4.15,
17,u-AJpmz9nHVf-Prm5l0U0bNw,Zulfiqar,male,45,0,9,2.11,
18,u-fNqVLJ6l19eqJaMV-hk-xw,Jay,male,1,0,14,3.29,
19,u-6T2wUKXuQkbk8vTwTC6OVQ,yasir,female,25,0,1,1.0,
20,u-ZDAjNnzMh_k_NPxYA0AwiQ,Sumra,female,25,0,21,3.95,
21,u-dzkWjkKZEFwibAx8aGNLqA,Akash,male,35,0,7,4.43,
22,u-a0m28ex8jW6PvnyojchLyw,Muneeb,female,56,1,5,2.17,
23,u-V_pw1PPGe6YbRl4-JpXfYQ,Aneesa,male,56,0,1,1.0,
24,u-n4DeNymCmaulmpoThjjEQg,Yelp,female,18,0,18,3.0,
25,u-Jai6ZKPwMwIOEh8mqI8JoQ,Stanley,male,45,0,1,4.0,
26,u-2p7wg_4xvgs8nWLkrU-puQ,Alex,male,1,0,2,1.0,
27,u-RRhco4irDXPk5EJmvuwr2w,Ish,female,25,0,32,3.06,
28,u-JT9Ux1QWW2x1tDyFNaSp1A,YC,female,35,0,31,3.29,
29,u-77bSr4yTJrt__livHS3CKA,Sriram,female,25,0,6,1.67,
30,u-xW6g0EMGxUqouRTzd0PItA,Jay,male,1,0,16,2.75,
31,u-ulM0B0JOkRDNLdZW3-rvFA,Ali,male,35,9,119,3.46,
32,u-O4Dim1eKErdBdKWUGpMxvQ,David,male,45,2,129,3.5,
33,u-8h6eKv00bmef5fExt7EWgg,Louis,male,45,0,5,3.0,
