subject,predicate,object
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Samosa
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_ASPECT,Service
u-QPHv6D5kz_OidWnXC67izg,HAS,Food
u-DK57YibC5ShBmqQl97CKog,VISIT,b-GC9Re0tKAnecMww3DB638g
u-9BEJyib8YGjAK3s0JUi53Q,RATE,b-5VOqWjRXUPc7b1A_NSI9mQ
u-RD9rnr0uNtYJya-pl21fbg,WRITE_REVIEW,r-6H-qv6xsqJDxR-BKn1P3NQ
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Tikka_Masala
u-V-BbqKqO8anwplGRx9Q5aQ,RATE,b-GC9Re0tKAnecMww3DB638g
Food,IS,Expensive
Great,ASPECT_ATTR_FOR,b-c4qE3ygdEQUD9dZjganavA
Reasonable,ASPECT_ATTR_FOR,b-f7RXwcus_-EOsR0q5ctVjw
u-cPgxJlQjyD0Q1XtEEqsG-g,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
u-aZ4kSbVw8hb9UOweXD201g,VISIT,b-S4qUsi44l5D9BbUCkhwQEA
b-tIXpNWE6R1yadAThbSefHw,HAS_MENU,Beef_Chilli
b-dg4EMyM1feTEWfLPSbunrg,HAS_REVIEW,r-GY9nm8oqFTSDsf4U31Rxsw
b-gA4bnK91phT5FTzG4ki3Dw,HAS_MENU,Vegetable_Skewer
u-5khspCXap0uTqd0CsKFnrw,RATE,b-GC9Re0tKAnecMww3DB638g
u-scES1M2mUffQYy7wMuQeWQ,LOVE,Food
u-iIe1gtgyLqV0ZBbArDQkvg,WRITE_REVIEW,r--K6X-xUbQN3j0qPN474naQ
u-l6kkFLWO6FuEzRro6bcMwQ,VISIT,b-P4h8kgy_48oE9vCHJc4BCQ
u-_WxqT1ok5mGgtsAIeOQdBw,VISIT,b-Q8uwArm4h8bhsqxw84Gd8w
u-tM84r9rP7XTjX4SnRzviMA,RATE,b-bO_JX-lDo5D5JGZhK5Ly3A
u-lTztY8L-q7B9zlfmBI0L0Q,VISIT,b-OZwMMnRncrp7_uC-N3vV1Q
u-d2mjWg0euCJYfkeWd7dckg,RATE,b-V_jIfMz9Z7a5mthleRq0_w
Amazing,MENU_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
Food,IS,Awesome
u-IZqX5O-q2cBoJ7beQfJg4g,WRITE_REVIEW,r-jqUbZQ-C45_OMbzIdqCBmA
Soma_Grill,IS,Good
u-m66JEwIVUq_uQU06nWFHYA,RATE,b-UaMq3DUhtkoZ5WCEQm2T9g
b-5VOqWjRXUPc7b1A_NSI9mQ,HAS_REVIEW,r-oJRkPDwTvt44BdNnP4OGFg
b-ZNdV9ytExuxPTXSN8i2xhw,HAS_REVIEW,r-31flpsMpnZssZPFe-N7sAA
u-B_-u1wqpcOWsjXbDFY9JBA,WRITE_REVIEW,r-c5OEd2BUEM7gJj_yJeSOpA
