Type1,Entity1,Relationship,Type2,Entity2
Node,Service,is,Node,great
Node,price,is,Node,high
Node,u-CY7Mtn1xuifQrI2S96BaQQ,craving,Node,Indian
Node,one,is,Node,good
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,Dal
Node,Dal,were,Node,good
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,Rice
Node,Rice,was,Node,plain
Node,Food,is,Node,nice
Node,service,is,Node,lackluster
Node,u-viDOnsL8pW6A-HEAf_VXXQ,recommend,Node,b-LZWXP-D4YPlzsFjVx6b9XA
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,Veg_Biryani
Node,Veg_Biryani,was,Node,flavourful
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,masala_curry
Node,masala_curry,was,Node,great
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,sambar
Node,sambar,was,Node,tasty
Node,service,is,Node,helpful
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,chicken_curry
Node,chicken_curry,is,Node,delectable
Node,service,is,Node,good
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,Sambar
Node,Sambar,was,Node,good
Node,u-SHqmk_PNFRlPpJjeYFO0eg,served,Node,Biryani
Node,Ambience,is,Node,bad
Node,food,is,Node,mediocre
Node,service,is,Node,lackluster
Node,Food,is,Node,decent
Node,u-gGCv9qdMRgAa39ao0Phr7g,went_for,Node,dinner
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,Chicken_Tikka_Masala
Node,Chicken_Tikka_Masala,were,Node,unbelievable
Node,food,is,Node,good
Node,Food,is,Node,delicious
Node,u-RD9rnr0uNtYJya-pl21fbg,ordered,Node,u-RD9rnr0uNtYJya-pl21fbg
Node,u-RD9rnr0uNtYJya-pl21fbg,asked_for,Node,chutney
Node,service,is,Node,poor
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,Papadums
Node,Papadums,were,Node,complimentary
Node,b-LZWXP-D4YPlzsFjVx6b9XA,has_menu,Node,beers
Node,beers,were,Node,warm
Node,u-7uNESKhTlge7kCN00u5LPQ,brought,Node,Naan
Node,Bombay Buffet,lacking,Node,paneer
Node,price,is,Node,good
Node,u-YEDnTf7d6RyXKEHDGqi9tg,thought,Node,worst
Node,food,is,Node,decent
