sub_ent,subject,relation,obj_ent,object
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_ASPECT,Food,Food
Great,Great,ASPECT_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Food,Food,IS,Great,Great
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Chicken Biryani,Chicken_Biryani
Dry,Dry,MENU_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Chicken Biryani,Chicken_Biryani,IS,Dry,Dry
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Food,Food,IS,Delicious,Delicious
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Chicken,Chicken
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,IS,Ideal,Ideal
,u--dEAguztpqPvzftWb_YNdA,INTRODUCED_TO,,Food
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Chicken Pieces,Chicken_Pieces
Tasty,Tasty,MENU_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Chicken Pieces,Chicken_Pieces,IS,Tasty,Tasty
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Sauce,Sauce
Rich,Rich,MENU_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Sauce,Sauce,IS,Rich,Rich
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Sindhi Biryani,Sindhi_Biryani
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Shami Kebab,Shami_Kebab
Katya,u-71tacONUReSQ1tv2Edz4OQ,ORDER,Shami Kebab,Shami_Kebab
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Lollypop Chicken,Lollypop_Chicken
Great,Great,MENU_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Lollypop Chicken,Lollypop_Chicken,IS,Great,Great
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Chana Masala,Chana_Masala
Heli,u-Uaqawx2iD0mT5YP_akJrJw,ORDER,Chana Masala,Chana_Masala
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Beef,Beef
Heli,u-Uaqawx2iD0mT5YP_akJrJw,ORDER,Beef,Beef
,Take_Out,KNOWN_FOR,,Take_Out
,u-Uaqawx2iD0mT5YP_akJrJw,WENT_IN,,u-Uaqawx2iD0mT5YP_akJrJw
,u-Uaqawx2iD0mT5YP_akJrJw,STEPPED_IN,,u-Uaqawx2iD0mT5YP_akJrJw
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_ASPECT,Food,Food
Terrible,Terrible,ASPECT_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
