,u_id,user_id,user_name,gender,age,fans,review_count,average_stars,friends,u_menus,r_id,rest_id,rest_name,postal_code,city,state,country,rest_rating,category,menus,aspects,rating,timestamp
0,0,u-lZXCUgpBBsnbN7926Y3g0A,Violet,1,18,0,6,2.5,[],['Chicken Biryani'],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",2.0,1505988408
1,1,u-GUMxq_mi_XFoUMlYDoQYeg,Sam,0,35,0,40,3.26,[],['rice'],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",4.0,1411743237
2,2,u-BP0Qe_iFslyq7t6Xugvzrg,Shawn,0,25,0,24,3.88,[],[],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",3.0,1475782784
3,3,u-gyS1Ef3KamhVeyFhk4nqeQ,Marie,1,56,0,11,3.42,[],[],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",1.0,1457795257
4,4,u-bgjERvfhhgeDurSi9Ni5gg,Thomas,0,35,0,34,3.31,[],[],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",4.0,1510922191
5,5,u-pZsVUkMb4yGMGoTRzNS7Ew,Priyam,0,45,8,93,3.51,[],['chicken'],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",4.0,1390820621
6,6,u--dEAguztpqPvzftWb_YNdA,John,0,35,0,8,4.63,[],"['Sauce', 'chicken pieces']",0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",5.0,1528444052
7,7,u-71tacONUReSQ1tv2Edz4OQ,Katya,1,56,5,109,4.59,[],"['Naan', 'Lollypop Chicken', 'Sindhi Biryani', 'Samosa', 'Shami Kebab']",0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",4.0,1549635641
8,8,u-Uaqawx2iD0mT5YP_akJrJw,Heli,1,25,1,35,3.23,[],"['chana masala', 'beef', 'rice']",0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",2.0,1403796527
9,9,u-pj7M1RIWV0caCp7Kj91JxA,Adnan,0,25,0,5,3.5,[],['biryani'],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",3.0,1418755174
10,10,u-TMV_sdcRAzmgByr2ez6dAw,D,1,25,0,5,2.8,[],[],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",1.0,1488817767
11,11,u-zSaIbSCTB9ug09pOqf8_vw,Mich,1,25,0,2,1.0,[],[],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",1.0,1489238720
12,12,u-BSu2hEtBYvtADAEKiQrmiQ,Atif,0,45,2,50,4.3,[],[],0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,['Indian'],"['Chicken Biryani', 'beef', 'Naan', 'Lollypop Chicken', 'biryani', 'chicken pieces', 'rice', 'Sindhi Biryani', 'chana masala', 'Samosa', 'Sauce', 'chicken', 'Shami Kebab']","['Food', 'Staff', 'Take_Out']",1.0,1387019961
13,13,u-hTmPK8GhGXOKgFig4pMNmA,Lisa,1,18,1,7,4.86,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",4.0,1438097730
14,14,u-ZsisQjLoliFocSnktH3lsw,Mobahil,1,56,0,1,5.0,[],['Biryani'],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",5.0,1451908731
15,15,u-W37KqgMymarQaqYGOWS70w,Burcu,1,45,7,253,3.7,[],"['biryani', 'butter chicken', 'dinner', 'sauce']",1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",4.0,1382784531
16,16,u-xCAwgus9fWEIrv5GvwykEQ,Faraz,1,18,4,45,4.15,[],['biryani'],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",4.0,1382851278
17,17,u-AJpmz9nHVf-Prm5l0U0bNw,Zulfiqar,0,45,0,9,2.11,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",1.0,1470386044
18,18,u-fNqVLJ6l19eqJaMV-hk-xw,Jay,0,1,0,14,3.29,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",1.0,1507466188
19,19,u-6T2wUKXuQkbk8vTwTC6OVQ,yasir,1,25,0,1,1.0,[],['nihari'],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",1.0,1408166362
20,20,u-ZDAjNnzMh_k_NPxYA0AwiQ,Sumra,1,25,0,21,3.95,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",1.0,1487422380
21,21,u-dzkWjkKZEFwibAx8aGNLqA,Akash,0,35,0,7,4.43,[],"['butter chicken', 'Naan']",1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",2.0,1398521244
