subject,relation,object
u-JrXC_MDp38BWwLn2SFdNsA,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-Ul42L3SbNiV0aB1eocj-KQ,HAS_FRIEND,u-cZm0eIvfPC7zxOwbKsjMLg
u-cZm0eIvfPC7zxOwbKsjMLg,HAS_FRIEND,u-Ul42L3SbNiV0aB1eocj-KQ
u-zuFF5CTsZkacie2X7RP-0A,HAS_FRIEND,u-e0AUdCu-jeOkLImiEzlTDg
u-8q4qgrHmNn2OHLb8g3nHGQ,HAS_FRIEND,u-zuFF5CTsZkacie2X7RP-0A
u-CtvxL2SA-Wn0Tt-Ov1dJwQ,HAS_FRIEND,u-Q83R2UssCoErEJX36wrlvg
u-CY7Mtn1xuifQrI2S96BaQQ,HAS_FRIEND,u-AvC5XQAElcGAAn_Wr5auEg
u-_1SKSmLqpHBqWh09DxQMfw,HAS_FRIEND,u-HdUpeg9oYzvzHIgeJuM2uQ
u-QIC7YDWVIciSHX9FQHa-3g,HAS_FRIEND,u-rLafRDi22mMbZlBTDbZlBA
u-YscjZezxLirEjK_bK82uAw,HAS_FRIEND,u-E43QxgV87Ij6KxMCHcijKw
u-VLfK0P4aHwCThv3h7GeQQw,HAS_FRIEND,u-e0AUdCu-jeOkLImiEzlTDg
u-xnLliq9Majlk9i0Orf7Iig,HAS_FRIEND,u-y05H_1uQhO4frLTJ5_tGCQ
u-kQF9NmkkxmUTo3AUTfAvlA,HAS_FRIEND,u-DbvIS10e5BRB7AFT5DAW4Q
u-fVAtXHil33Mwk2vETayyUg,HAS_FRIEND,u-8b8tlDCc2HE9G7rLEMF2lg
u-BM6KnzoljE9t5qBrQjfdmQ,HAS_FRIEND,u-WeHffRGwXVuqdQyOxsAg0Q
u-VUop7P6gVM95Ke2cHjX0Fg,HAS_FRIEND,u-JnPIjvC0cmooNDfsa9BmXg
u-liiY-jtE681B_fbP1sHfiw,HAS_FRIEND,u-ub8FMhBU6hJ0u1jjChlkyg
u-8okt1nl-g2RL3ylWoqj4tA,HAS_FRIEND,u-AvC5XQAElcGAAn_Wr5auEg
u-8vfbA76TY8lR_7femAPtVw,HAS_FRIEND,u-Bsbumyr3Of8BauN2URK4bg
u-HVq7SYfZ4hpFFVsAU_Ub_Q,HAS_FRIEND,u-jfaz1aQqnkbtzQfQyCE8IA
u-rVsu1V6P7pJom8eJbE9tow,HAS_FRIEND,u-BpNAPKjA2O6rTu5APobHjQ
u-ByQUXmVgJW6jNOzPgweW4g,HAS_FRIEND,u-jnB_saJqNfOmVoCWquhAzg
u-mkG5CBX5zbvKLOhHBaaYFg,HAS_FRIEND,u-HdUpeg9oYzvzHIgeJuM2uQ
u-UFl-AzsPSBvXj5XV682mEg,HAS_FRIEND,u-0uVAseVd1TgEGE2MY4C7Kg
u-_LpeXjhiuMUvRo5QZtc90A,HAS_FRIEND,u-tjTrsF-CpDnTcclX-3sCTw
u-Kf10dTiGlcnyhj8DBoZn1A,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-sn2p_WGpxu_cKUa8nEolgw,HAS_FRIEND,u-sMhvlIPGLUlRA7QsWlqBOg
u-g-y4Me4bqDz8jwFzX_e17w,HAS_FRIEND,u-FcufsSaz59BJtNv3ibL10A
u-qKpkRCPk4ycbllTfFcRbNw,HAS_FRIEND,u-j58hmvZSFl77g5m1TXIj5w
u-Gsa-MeZ0IybuuXinFZUVGg,HAS_FRIEND,u-tzdz5CN4ss0Ipogkp3Eiyw
u--d2daWmftYumOaYpbD5D8Q,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-gZUVSBm-BWntWeQTYH04UQ,HAS_FRIEND,u-_S5LEY9-j-u9DgfahVb0gQ
u-DqqPHnJlAne2don6FAJ8ww,HAS_FRIEND,u-IgjjNyJt8l_SKcl0KPYgVA
u-7h4_BoZOk9zq6Xf3sX4Jqg,HAS_FRIEND,u-E43QxgV87Ij6KxMCHcijKw
u-qUL3CdRRF1vedNvaq06rIA,HAS_FRIEND,u-jfaz1aQqnkbtzQfQyCE8IA
u-FGxJnIi14v1gVRXbDQPffg,HAS_FRIEND,u-PtCnYJdVicJ1BOa6X14fZw
u-PiSCokd01nxdMkVQRV_R7A,HAS_FRIEND,u-Z7FpUY7YW5LFP1OYws358A
u-qIIWAMJ_LwlJi0fntUpsjg,HAS_FRIEND,u-4KbUaerUBoiUwZGMHKVFxQ
