rest_id,menus,aspects
b-mOsKIonnlHllP9gfbXdgnQ,Chicken Biryani|beef|Naan|Lollypop Chicken|biryani|chicken pieces|rice|Sindhi Biryani|chana masala|Samosa|Sauce|chicken|Shami Kebab,Food|Staff|Take_Out
b-nbf4o8gUP2y9JKFE2wBO2A,dinner|butter chicken|sauce|Naan|Biryani|biryani|naan|nihari,Food|Staff|Service|Customer_Service
b-UaMq3DUhtkoZ5WCEQm2T9g,butter chicken|Naan|yogurt|chicken qourma|curry|Biryani|goat biryani|chicken biryani|biryani|raita|naan|Butter Chicken,Staff|Service|Customer_Service|Food|Decor|Taste|Price
b-P4h8kgy_48oE9vCHJc4BCQ,Channa Masala|Naan|cake|lollipop chicken|chicken biryani|biryani|roll|Butter chicken|seekh kebab Masala|bread|Chicken|curry|Biryani|fish|chicken|Curry Dish|Palak Paneer|Achari Chicken|Haleem|chicken malai boti|Chicken Dish|naan|dinner|Chicken pieces|lamb|karahi chicken|Beef Samosa,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Parking
b-LZWXP-D4YPlzsFjVx6b9XA,Chicken Tikka Masala|dinner|Dosa|chutney|Naan|plain|Papadums|masala curry|Dal|sambar|Rice|chicken curry|Sambar|Biryani|chicken|Veg Biryani|naan|beers,Staff|Service|Food|Ambience|Menu|Taste|Price
b-CvOxwAhmwwy3sQRKYVAjGg,butter chicken|Naan|plain|tandoori chicken|mushrooms|chicken biryani|paneer|parathas|Butter chicken|ice cream|chicken Pierre|chicken|Tandoori Chicken|naan|dinner|dessert|fruit|Naan Bread|chicken tikka|Coke|Paneer Makhani,Staff|Service|Music|Food|Ambience|Menu|Taste|Price|Food_Quality
b-ZDx7kt4aOPTlmYTqXDrTGA,tomato rice|idllis|sambhar|Samosa|Masala Dosa,Food|Parking|Take_Out|Service
b-p-J9iJgeHmPGk2jFAM0WnA,mango|dinner|masala dosa|Dosa|dessert|sambar|butter masala|rice|Chana Bhatura|Rava Dosa|pudding|chana masala|cheese bread|chicken tikka masala|saag paneer,Food|Menu|Service|Taste
b-RE4qn28MEiDrM1PbdYVgxA,pepper sauce|chutney|Roti|chicken roti|roti|dhalpourie roti|lamb|goat|Jamaica rotis|goat roti|doubles,Food|Staff|Service|Price
b-_PKXarw3GjlbwbXhjdpUMA,tikka masala|Schezwan Chicken|Chili Chicken|Manchurian Chicken|seafood|chili dishes|chicken|Chicken Pakora|chilli chicken|soup|Sauce|tao chicken|veggie chow mein|noodles|chow mein|Chili chicken|rice|chili chicken|Noodles|pakora,Food|Staff|Service|Price
b-scM6rLQqoz5dEIgwz_JFsg,tikka masala|Lamb Masala|Naan|masala curries|Vindaloo|cheese|tandoori chicken|papadam|tandoori roti|Dal tadka|eggplant dish|Tandoori Mixed Grill|Tikka Masala|chai|rice pudding|mango|Chicken Tikka Masala|Chicken|Biryani|shahi korma|Tikka masala|Tikki masala|Gobi|chicken Tikka masala|korma|mango lassi|lassis|naan|coconut naan|goat curry|rice|shahi paneer,Staff|Service|Food|Taste|Price|Food_Quality
b-eRZuxjnaMviiVyvhejwTBQ,Lamb Shank|chicken breast|Naan|tandoori chicken|Lamb shank|chicken dinner|chicken wrap|sauce|yogurt|bread|chicken pieces|chicken|Chicken seekh wrap|beef karahi|beef tikkas|beef tika|tandoori chicken dinner|BEEF|tandoori|salad|Afghan Cuisine|naan|beef|skewer|lamb shank|rice|lamb|chicken kebab dinner|Meat Kebab|beef tikka wrap|vegetable stew|Kebab Karahi,Staff|Service|Food|Decor|Price|Taste|Parking|Food_Quality
b-CB99Ifh4OnBTnuNdRjj_fQ,tikka masala|Naan|chickpeas|papadums|Vegetable samosa|Samosa|goat|tikki masala|Red Curry Chicken|Chicken Tikka Masala|lentil soup|sauce|bread|curry|Soma Grill|fish|chicken|lamb vindaloo|Lentil soup|salad|soup|Salad|cream sauce|Vegetable Samosa|Sauce|naan|Madras|dal|dinner|Chutney|shrimp|vegetables|tomato sauce|Rice|Chicken Madras|goat curry|rice|chicken korma|chicken tikka masala,Staff|Service|Food|Menu|Decor|Price
b-Eu-M3y8a5bIxIRXlCj9yHA,chicken breast|Naan|tandoori fish|Chicken Breast Kebab|Afghani bread|Wazieri kebab|Kebab|sauce|bread|Qabulee rice|Chicken Skewer|Firni|Fries|barg kebab|fish|chicken|salad|Chicken dish|Tandoori Chicken|Chapli Kebab|Sauce|Fish Tandoori|naan|dinner|fish tandoori|Tandoori|rice|Rice|garlic sauce,Staff|Service|Customer_Service|Food|Menu|Taste|Decor|Price|Food_Quality
b-Dh2Z3WNu6M71LbMNHEeg3w,Honey garlic chicken|tiger prawns|shrimp|scheshwan chicken|chilli chicken|soup|chicken|Garlic chicken,Food|Service
b-TTCZkfxt0GW8YUzdVe0PrA,plain|eggplant dish|Double Ka Meeta|RICE|Veg Dum Biryani|biryani|paneer|Cashew chicken|Biryani|Onion Pokuras|mutton|sweets|Gobi|Palak Paneer|Nutella dosa|Sauce|butter paneer|naan|dinner|Chutney|dessert|Corn Vepudu,Staff|Service|Food|Ambience|Menu|Decor|Taste|Price
b-or1daHtUK9b7sqFRPf62GQ,Supreme Dosa|Dosa|Ginger tea|Coconut rice|chicken dosa|mango lassie|Samosa|mutton Koththu|chicken,Food|Service|Decor|Price
b-vZu3xxlMQSqFngDgdFLfXg,Dhaal|butter chicken|dinner|Naan|bread|chicken tikka|vegetables|aloo jalfrezi|rice|paneer|fish|Samosa|chicken|salmon|naan,Food|Staff|Price
b-5eDg_Y2N6aU_k7tIxoFXTg,chicken masala|channa masala|butter chicken|Naan|tandoori chicken|Makhani Daal|Matar Mushroom|Chicken Tikka Masala|sauce|bread|Lamb chops|Goat Roganjosh|chai tea|chicken|Chicken Saag|beer|wine|Pakora|mango lassi|chick peas|samasoas|naan|Chili chicken|Karahi chicken|garlic naan|dinner|Lamb|Papadi chaat|cauliflower|Chana masala|rice|chili chicken|Chicken Kourma|tiki masala|crispy|palak paneer,Staff|Service|Food|Ambience|Menu|Taste|Price
b-3wJ4kJsJhayyfJ30HsS04g,cauliflower dish|tikka masala|butter chicken|Naan|Paneer dish|tandoori chicken|goat biryani|chicken biryani|biryani|paneer|Papad|Gulab Jamoons|papadum|Tandoori Chicken|Pakora|okra|Chicken Dish|naan|veggie|dinner|Chutney|egg curry|tomato sauce|rice|Andhra Chicken,Service|Food|Menu|Decor|Price
b-qhKNZTtTT6GLnPzQny-v9Q,Fish|tea|paneer|chai|Chanay|Nihari|yogurt|halwa puri|paya|curry|nihari|Chicken Tikka|halwa|Paya|lassi|halwa poori|Mango lassi|Chana|Halwa Puri|naan|garlic naan|puri|Nihari gravy curry|rice|Veal Biryani,Staff|Service|Food|Taste|Price
b-k9PfKE7KfztoMpOSx25UpA,butter chicken|Potatoe bowls|naan bread|Naan|tandoori chicken|Frankie rolls|Paneer wrap|Samosa|bro bowl|Chicken Platter|Delhi Kebab|sauce|bread|chicken|naan roll|tandoori|fries|channa samosa|pastry|chili sauce|mango lassi|Sauce|butter paneer|naan|vegetables|Naan Bread|rice|roti|sandwich|palak paneer,Staff|Food|Menu|Decor|Price
b-3frFidAcPVYAFB2RxxkIdA,garlic naan|dinner|curry lamb|chat|Creamy Sauce|mattar paneer|basmati rice|Samosa|soup|lamb curry|naan|rice pudding,Food|Menu|Service|Price
b-7xA6iSP0Ndn08tpBFQtUKA,chicken masala|saffron sauce|butter chicken|Naan|bengan bharta|chicken dinner|Checkin Baryani|biryani|paneer|tandoor paneer|saag paneer|Patty|lamb biryani|chapati|chutney|Paneer Masala|Saag Paneer|Gulab Jamun|chicken|chicken tikka masala|khums matar paneer|chicken madras|chicken pakora|Sauce|lamb curry|naan|garlic naan|Lamb Rogan Josh|rice|papdi chat|Lamb Chop Kandhari|lamb|Chicken Noorani Kebab|lamb roganjosh,Staff|Service|Food|Price|Parking
b-mOsKIonnlHllP9gfbXdgnQ,Chicken Biryani|beef|Naan|Lollypop Chicken|biryani|chicken pieces|rice|Sindhi Biryani|chana masala|Samosa|Sauce|chicken|Shami Kebab,Food|Staff|Take_Out
b-COfzp0tze_F8N13zn40zzg,tikka masala|Oignon Bhaji|butter chicken|lentils|Naan|papdi chaat|papadums|paneer curry|Samosa|vegetable|sauce|bread|chicken|Vegetarian Thali|wine|Shahi Panner|Roti|mango lassi|paratha|basmati rice|chick peas|soup|kheer|naan|garlic naan|Lamb Korma|curry lamb|vegetables|vegetable mix|roti|lamb,Staff|Service|Food|Price|Delivery
b-DxbdfvNYPCyiLJDDPJK3Tg,Soup|vegetable pakora|Chili Chicken|Szechwan chicken|chicken noodles|shrimp pekoras|chicken|Munchurian Chicken Chowmein|fish pakora|Chicken Pakora|chilli chicken|soup|Chicken Dish|Sauce|chicken Manchurian|Crispy ginger beef|shrimp|Chilli chicken|Spicy Shrimp|Chilli Chicken|Fish Pakora|Chicken Protein|rice|chili chicken|machurian chicken|crispy|Hakka noodles,Staff|Service|Food|Menu|Decor|Price|Taste|Delivery|Parking
b-MMOEaEcq-bsg_RYWHSC4_g,tikka masala|butter chicken|naan bread|Naan|Naan bread|vegetable pakora|Vindaloo|chicken biryani|egg rice|biryani|Samosa|Lamb Qorma|bbq platter|Chicken Roll|lamb biryani|qorma|Kebab|Butter chicken|bread|beef quorma|Chicken|curry|chicken|lamb vindaloo|lassi|tamarind sauce|Pakora|mango lassi|roghan gosht|basmati rice|Sauce|Quarma|naan|Chicken Samosa|garlic naan|Chutney|Lamb|beef|chicken tikka|samosa|rice|Mix Vegetable Gravy|Saffron rice|lamb|chicken tikka masala|Beef Samosa,Staff|Service|Food|Menu|Decor|Price|Taste
b-h-psPOmlY0mCOflb3S3rdQ,malia kofta|Dosa|vegetarian dish|butter masala|chili paneer|Vegetable Soup|Pav bhaji|chutney|sauce|Kothu Paratha|fish|fish curry|chicken|lamb vindaloo|Mango / Mint Juice|potato|malai cofta|medu wada|schezwan noodles|Chettinad curry|soup|idlis|dinner|porridge|gobi Manchuria|chicken tikka masala|Fish Curry,Staff|Service|Food|Taste|Decor|Food_Quality
b-V_jIfMz9Z7a5mthleRq0_w,tikka masala|coconut chicken|Naan|mint chutney|chicken biryani|korma sauce|Chicken Tikka Masala|Chicken biryani|pita bread|Okra|chana masala|fish curry|chicken|Aloo Bhindi|Chai|korma|Karahi Chicken|mango lassi|basmati rice|Chicken Dish|naan|beef|samosa|rice|yogurt chicken|chicken tikka masala,Staff|Service|Food|Menu|Taste|Price|Decor|Food_Quality
b-kG0N5urz2lkPEBDPjqFR3w,Maharani|chickpeas|fish masala|chicken curry|sauce|chana masala|chicken|Mango Lassi|Diet Coke|chicken Tikka masala|Boneless chicken|mango lassi|Sauce|naan|garlic naan|dinner|Tandoori chicken|Garlic Naan|rice|chicken tikka masala,Staff|Service|Music|Food|Menu|Decor|Price
b-LwXo16VrGPhhOWc_Wj7ifw,Naan|Aloo Gobi|Chicken Tikka Masala|Pulao Rice|kofta|sauce|curry|Tikka masala|Chicken Momos|Lamb Vindaloo|chicken|tandoori|Chai|Lam Vindaloo|Basmati rice|mango lassi|Lamb vindaloo|mango chicken|Sauce|naan|Chicken Biryani|garlic naan|chicken tikka|Hot & Spicy Chicken Wings|Garlic Naan|samosa|rice|cauliflower|vegetarian dishes|lamb,Staff|Customer_Service|Food|Menu|Price
