user_id,menus
u----1lKK3aKOuomHnwAkAow,Tandoori Fish
u---inoxVRk5TYjhuI4e304A,butter chicken|tika masala|butter naan
u--1aYNZASC1lkA09LJtfNAA,salad
u--3L0d2OoL7KOVgHrxybdjw,
u--9RU4LuI_TfYgv9rBijJoQ,chicken
u--9b4s874f_CnznTu4JorRg,
u--DQisTwt2iGzKKfqy-NWHQ,
u--E8l8M-ukteuWVchiTQ2-A,ice cream|malai kulfi|mango
u--Fy91nyOFqPv9M_MaZ4W2g,
u--GzOj_A2kVcKH6rIjbPWPg,
u--HjBSXa5aVlGvbpWTCeeMA,Lamb Curry|Chicken Shahikorma|sauce
u--InhDRRVG7wrwsgAUvN4Qw,rice pudding
u--JSIfWqNjPZWc8bN2lhVmw,
u--LFUxu48rLMWmOVN2ANEdQ,
u--MUlkZydqw3_-ODWuZR-KQ,
u--OyYep6JEk58_v1EPZqgXQ,
u--P4MdxIwar7DCEiOpD_GkQ,
u--PRT9JejZQWhY6i33c759w,
u--Pa4gci1ZPRf8cdBXtblhQ,lassi|Paya|curry|halwa poori|Mango lassi|naan|nihari
u--RA9NLalwmRTOX_8UMHnVQ,chicken|garlic naan|butter chicken
u--RDIhvdYrhOAqDF232pCnw,chicken curry
u--SRDTWwdGca9OKdYxA6XDg,Chole Batura
u--XgkT-ADQUzdjfYL8H3Rwg,Lamb Josh
u--Xh5WMLo90wZBwIh0MBouA,
u--YYe0kff9YAYzr5L09TT_A,Chutney|naan
u--ZUr_UdFwPr6deovQD7Arw,
u--Zk0XLOZOU72AHqCpOaUkw,
u--d2daWmftYumOaYpbD5D8Q,machurian chicken
u--dEAguztpqPvzftWb_YNdA,Sauce|chicken pieces
u--dU4bnGQ8kYh9CniHtDIlQ,
u--duHzkejpOJjc9G2ERE9Kw,
u--eJ_T5xUOO5izXe0_1Mbjg,
u--iGO8sRXF61OgrJ6Zn5WHQ,Vada Pav|Chole Bhatura|snack|Mango Lassi
u--lEb2KihxZAcr7BZ_1vWnA,
u--nxh-PAw8TcDR2CwPOIdwA,ice cream
u--od707p4FHGul0gte29AoQ,Naan
u--p3a5JqLcVMIdiqxCsgmZw,goat
u--pdxU0UGLPyZIDrAZJnPLw,
u--qKPtWuFaWrkfWyKPcPTXw,
u--s0-KSlNY6S3oIUNMUYw8g,vegetable curry
u--s1vboE3TrHcieEsKh0kJQ,tea|halwa puri|chai
u--soqdQNpLjb1SzYlXnzKVw,Samosa|bread
u--w3ArCgWBRPj-MM4X8Im5A,Gobi Manchurian|naan
u--zXaFNM5RS3IBaF4dC-RLg,
u-0-M2ovkMFcAlBjg8nxBXvA,
u-03M-c_n5XlXN_ktDCT_j1A,
u-03M8nAtDQGDtXg_nqrPobQ,
u-05A1WpXkjCbVHCodTSc6sg,naan
u-06ihtCK3gw80t6c7HyPt2w,
