,subject,predicate,object
0,u-LBYSGIpcXpNrnng3Oslabg,VISIT,b-0zTLMQOZhiCp9GFtegiFsw
1,Service,IS,Great
2,Excellent,ASPECT_ATTR_FOR,b-c4qE3ygdEQUD9dZjganavA
3,b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_MENU,Naan_Bread
4,Meat_Samosa,WERE,Vegetable
5,Good,MENU_ATTR_FOR,b-vZu3xxlMQSqFngDgdFLfXg
6,u-nH5ieqjJjej-2ps9vVWVQQ,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
7,u-mRv0t_dmwWZzm0-gFBnRlA,RATE,b-c4qE3ygdEQUD9dZjganavA
8,b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_REVIEW,r-9h8PWkh33LlUl7jD1YPacg
9,b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_ASPECT,Food
10,u-FfGSskrEu9jHlPy4sM8VBg,RATE,b-V_jIfMz9Z7a5mthleRq0_w
11,b-k9PfKE7KfztoMpOSx25UpA,HAS_ASPECT,Staff
12,u-MbBhClrXyu8-Mk5wW5y8tg,VISIT,b-3frFidAcPVYAFB2RxxkIdA
13,u-9c1gu4xbBbdwR6IxXkYlMQ,WRITE_REVIEW,r-T0xcD8vHQli-5edXgNSibg
14,Awesome,MENU_ATTR_FOR,b-SxuD7iY8QO88PNbSdNmNKg
15,u-Xwnf20FKuikiHcSpcEbpKQ,VISIT,b-XvuUYiJYAAiNC4AmdbBZ8g
16,Food,IS,Consistent
17,b-0cf-w9PK5gLkBkitL3bdqw,HAS_ASPECT,Menu
18,u-U5YQX_vMl_xQy8EQDqlNQQ,VISIT,b-P4h8kgy_48oE9vCHJc4BCQ
19,Good,MENU_ATTR_FOR,b-MMOEaEcq-bsg_RYWHSC4_g
20,u-79MxP4BVLfpmWqDilznLMg,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
21,u-BFKVpowGGccyIbfIlbOLPQ,WRITE_REVIEW,r-5s4ACQtxWAvgNUvWJfvQrQ
22,b-MMOEaEcq-bsg_RYWHSC4_g,HAS_REVIEW,r-beqcZwNcrQonb_9yCcYVNQ
23,u-2S07Wh6R_5C5ZIjzQZfxbg,WRITE_REVIEW,r-bam0RpLukLaTGH8PJjEqGQ
24,b-gA4bnK91phT5FTzG4ki3Dw,HAS_REVIEW,r-dCHt4F0VpboYCNrJkA1tAg
25,Amazing,ASPECT_ATTR_FOR,b-scM6rLQqoz5dEIgwz_JFsg
26,Chicken_Tikka,IS,Flavourful
27,u-SalzPkE0sbOXF7erSlOKSQ,WRITE_REVIEW,r-ZvNtXwWuZ0vmT9_wxrii_w
28,u-2K50D1mnCCO1sLcsABEQlw,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
29,u-4cZ3f3i0Slv2W9mLN_VZBw,WRITE_REVIEW,r-MIpg9HHVpPYWJyf6Q4ZIkA
30,u-yxnhJ_lzLgZvczfNDk6L1w,ORDER,Naan
31,u-NPPnwMFQjv80vV2mQr8tdg,RATE,b-Eu-M3y8a5bIxIRXlCj9yHA
32,Food,IS,Tasty
33,u-SDsVaBzPJr8fdY4-m5bjdw,WRITE_REVIEW,r-Wl7BBc6gwrrn6VSLpFCKmQ
34,u-zcM8eIIADgLklgkmphadlg,VISIT,b-c4qE3ygdEQUD9dZjganavA
35,b-GC9Re0tKAnecMww3DB638g,HAS_REVIEW,r-aRGG3kWox1TPNBmOM-Vu0w
36,Clean,MENU_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
37,u-JyKCie9noLFJeLKj_SbtTw,ORDER,Mango_Lassi
38,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-vD9TVfFWxe4AebCcTGzZZg
39,Efficient,ASPECT_ATTR_FOR,b-DKqhCd3Vwl3CEo8vUHhLYg
40,Sweet,MENU_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
41,u-CUtWutWdXJd8tLOiQNr80A,VISIT,b-vCx6uieEF0W0mKFK4sT3Yg
42,u-IQ8JZGg2po5YrcYqCBQQrw,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
